"Word"	"dlugosc"	"FreqSum"	" X"	" XX"
"nowy"	4	775	" 0.00026341"	" 263.41"
"dnia"	4	770	" 0.00026171"	" 261.71"
"dwie"	4	769	" 0.00026137"	" 261.37"
"maks"	4	738	" 0.000250834"	" 250.834"
"sejm"	4	738	" 0.000250834"	" 250.834"
"celu"	4	725	" 0.000246416"	" 246.416"
"dziś"	4	724	" 0.000246076"	" 246.076"
"mimo"	4	709	" 0.000240977"	" 240.977"
"czas"	4	679	" 0.000230781"	" 230.781"
"domu"	4	670	" 0.000227722"	" 227.722"
"nowe"	4	657	" 0.000223304"	" 223.304"
"żeby"	4	651	" 0.000221264"	" 221.264"
"firm"	4	633	" 0.000215146"	" 215.146"
"musi"	4	626	" 0.000212767"	" 212.767"
"niej"	4	620	" 0.000210728"	" 210.728"
"poza"	4	601	" 0.00020427"	" 204.27"
"wraz"	4	587	" 0.000199512"	" 199.512"
"byli"	4	577	" 0.000196113"	" 196.113"
"ceny"	4	539	" 0.000183197"	" 183.197"
"gdyż"	4	531	" 0.000180478"	" 180.478"
"duże"	4	519	" 0.0001764"	" 176.4"
"list"	4	512	" 0.00017402"	" 174.02"
"nocy"	4	505	" 0.000171641"	" 171.641"
"inne"	4	502	" 0.000170622"	" 170.622"
"swój"	4	501	" 0.000170282"	" 170.282"
"kurs"	4	500	" 0.000169942"	" 169.942"
"siły"	4	497	" 0.000168922"	" 168.922"
"choć"	4	496	" 0.000168582"	" 168.582"
"chcą"	4	495	" 0.000168242"	" 168.242"
"pięć"	4	484	" 0.000164504"	" 164.504"
"koło"	4	483	" 0.000164164"	" 164.164"
"etap"	4	476	" 0.000161785"	" 161.785"
"lech"	4	466	" 0.000158386"	" 158.386"
"mieć"	4	465	" 0.000158046"	" 158.046"
"film"	4	460	" 0.000156346"	" 156.346"
"ydów"	4	456	" 0.000154987"	" 154.987"
"brak"	4	453	" 0.000153967"	" 153.967"
"taką"	4	453	" 0.000153967"	" 153.967"
"kary"	4	452	" 0.000153627"	" 153.627"
"stan"	4	449	" 0.000152608"	" 152.608"
"odzi"	4	444	" 0.000150908"	" 150.908"
"dniu"	4	441	" 0.000149889"	" 149.889"
"mecz"	4	418	" 0.000142071"	" 142.071"
"zbyt"	4	416	" 0.000141392"	" 141.392"
"dane"	4	411	" 0.000139692"	" 139.692"
"mamy"	4	409	" 0.000139012"	" 139.012"
"mówi"	4	404	" 0.000137313"	" 137.313"
"ropy"	4	401	" 0.000136293"	" 136.293"
"cena"	4	397	" 0.000134934"	" 134.934"
"dość"	4	394	" 0.000133914"	" 133.914"
"rano"	4	394	" 0.000133914"	" 133.914"
"zchn"	4	391	" 0.000132894"	" 132.894"
"lecz"	4	388	" 0.000131875"	" 131.875"
"prac"	4	386	" 0.000131195"	" 131.195"
"adam"	4	376	" 0.000127796"	" 127.796"
"klub"	4	373	" 0.000126777"	" 126.777"
"kraj"	4	371	" 0.000126097"	" 126.097"
"taki"	4	371	" 0.000126097"	" 126.097"
"więc"	4	370	" 0.000125757"	" 125.757"
"pory"	4	360	" 0.000122358"	" 122.358"
"maju"	4	353	" 0.000119979"	" 119.979"
"godz"	4	349	" 0.000118619"	" 118.619"
"ruch"	4	345	" 0.00011726"	" 117.26"
"unią"	4	343	" 0.00011658"	" 116.58"
"jaki"	4	335	" 0.000113861"	" 113.861"
"bush"	4	333	" 0.000113181"	" 113.181"
"albo"	4	333	" 0.000113181"	" 113.181"
"prix"	4	332	" 0.000112841"	" 112.841"
"nowa"	4	327	" 0.000111142"	" 111.142"
"cały"	4	323	" 0.000109782"	" 109.782"
"tyle"	4	317	" 0.000107743"	" 107.743"
"typu"	4	314	" 0.000106723"	" 106.723"
"mógł"	4	306	" 0.000104004"	" 104.004"
"stóp"	4	306	" 0.000104004"	" 104.004"
"cbos"	4	303	" 0.000102985"	" 102.985"
"rolę"	4	303	" 0.000102985"	" 102.985"
"izby"	4	301	" 0.000102305"	" 102.305"
"swej"	4	294	" 9.99E-05"	99
"obaj"	4	293	" 9.96E-05"	99
"razy"	4	288	" 9.79E-05"	97
"anna"	4	287	" 9.75E-05"	97
"czym"	4	284	" 9.65E-05"	96
"dwaj"	4	282	" 9.58E-05"	95
"taka"	4	282	" 9.58E-05"	95
"nową"	4	276	" 9.38E-05"	93
"nikt"	4	267	" 9.07E-05"	90
"mocy"	4	264	" 8.97E-05"	89
"nszz"	4	263	" 8.94E-05"	89
"karę"	4	262	" 8.90E-05"	89
"pulą"	4	261	" 8.87E-05"	88
"samo"	4	261	" 8.87E-05"	88
"tour"	4	260	" 8.84E-05"	88
"mnie"	4	259	" 8.80E-05"	88
"jaką"	4	257	" 8.74E-05"	87
"plan"	4	255	" 8.67E-05"	86
"obie"	4	255	" 8.67E-05"	86
"wody"	4	254	" 8.63E-05"	86
"roli"	4	251	" 8.53E-05"	85
"obop"	4	250	" 8.50E-05"	84
"dużo"	4	248	" 8.43E-05"	84
"obok"	4	248	" 8.43E-05"	84
"awsp"	4	245	" 8.33E-05"	83
"open"	4	241	" 8.19E-05"	81
"krwi"	4	231	" 7.85E-05"	78
"pani"	4	230	" 7.82E-05"	78
"trwa"	4	229	" 7.78E-05"	77
"woli"	4	226	" 7.68E-05"	76
"zsrr"	4	225	" 7.65E-05"	76
"izba"	4	225	" 7.65E-05"	76
"gazu"	4	224	" 7.61E-05"	76
"raka"	4	221	" 7.51E-05"	75
"całą"	4	219	" 7.44E-05"	74
"fakt"	4	219	" 7.44E-05"	74
"mało"	4	217	" 7.38E-05"	73
"grup"	4	216	" 7.34E-05"	73
"sobą"	4	213	" 7.24E-05"	72
"uefa"	4	213	" 7.24E-05"	72
"sali"	4	211	" 7.17E-05"	71
"nasz"	4	210	" 7.14E-05"	71
"mszy"	4	209	" 7.10E-05"	71
"ycie"	4	208	" 7.07E-05"	70
"stać"	4	207	" 7.04E-05"	70
"chin"	4	207	" 7.04E-05"	70
"york"	4	206	" 7.00E-05"	70
"cenę"	4	206	" 7.00E-05"	70
"nimi"	4	202	" 6.87E-05"	68
"kasy"	4	200	" 6.80E-05"	67
"swym"	4	199	" 6.76E-05"	67
"pula"	4	197	" 6.70E-05"	66
"unię"	4	191	" 6.49E-05"	64
"gmin"	4	189	" 6.42E-05"	64
"stał"	4	188	" 6.39E-05"	63
"huty"	4	186	" 6.32E-05"	63
"aids"	4	185	" 6.29E-05"	62
"zysk"	4	185	" 6.29E-05"	62
"inny"	4	182	" 6.19E-05"	61
"plus"	4	180	" 6.12E-05"	61
"broń"	4	174	" 5.91E-05"	59
"cele"	4	174	" 5.91E-05"	59
"daje"	4	174	" 5.91E-05"	59
"inni"	4	174	" 5.91E-05"	59
"pana"	4	172	" 5.85E-05"	58
"daty"	4	168	" 5.71E-05"	57
"kara"	4	166	" 5.64E-05"	56
"apel"	4	166	" 5.64E-05"	56
"radę"	4	166	" 5.64E-05"	56
"kfor"	4	164	" 5.57E-05"	55
"play"	4	163	" 5.54E-05"	55
"krów"	4	162	" 5.51E-05"	55
"igor"	4	162	" 5.51E-05"	55
"winy"	4	161	" 5.47E-05"	54
"ojca"	4	159	" 5.40E-05"	54
"gore"	4	157	" 5.34E-05"	53
"bill"	4	156	" 5.30E-05"	53
"płac"	4	156	" 5.30E-05"	53
"hali"	4	155	" 5.27E-05"	52
"ląsk"	4	154	" 5.23E-05"	52
"laty"	4	153	" 5.20E-05"	52
"gazy"	4	152	" 5.17E-05"	51
"atak"	4	151	" 5.13E-05"	51
"bądŸ"	4	151	" 5.13E-05"	51
"nowo"	4	150	" 5.10E-05"	50
"walk"	4	148	" 5.03E-05"	50
"jury"	4	148	" 5.03E-05"	50
"stoi"	4	147	" 5.00E-05"	49
"tony"	4	147	" 5.00E-05"	49
"głos"	4	141	" 4.79E-05"	47
"bauc"	4	140	" 4.76E-05"	47
"azji"	4	137	" 4.66E-05"	46
"dużą"	4	135	" 4.59E-05"	45
"fifa"	4	135	" 4.59E-05"	45
"sami"	4	134	" 4.55E-05"	45
"opzz"	4	133	" 4.52E-05"	45
"imię"	4	132	" 4.49E-05"	44
"ktoś"	4	131	" 4.45E-05"	44
"nasa"	4	130	" 4.42E-05"	44
"góry"	4	129	" 4.38E-05"	43
"żyje"	4	128	" 4.35E-05"	43
"małe"	4	128	" 4.35E-05"	43
"nauk"	4	126	" 4.28E-05"	42
"obwe"	4	126	" 4.28E-05"	42
"dróg"	4	125	" 4.25E-05"	42
"burz"	4	124	" 4.21E-05"	42
"opec"	4	123	" 4.18E-05"	41
"znad"	4	123	" 4.18E-05"	41
"ręce"	4	122	" 4.15E-05"	41
"fozz"	4	122	" 4.15E-05"	41
"wiek"	4	120	" 4.08E-05"	40
"jean"	4	120	" 4.08E-05"	40
"tymi"	4	119	" 4.04E-05"	40
"cała"	4	118	" 4.01E-05"	40
"krok"	4	118	" 4.01E-05"	40
"race"	4	118	" 4.01E-05"	40
"mróz"	4	117	" 3.98E-05"	39
"sama"	4	117	" 3.98E-05"	39
"fali"	4	115	" 3.91E-05"	39
"całe"	4	115	" 3.91E-05"	39
"wagi"	4	114	" 3.87E-05"	38
"mogę"	4	114	" 3.87E-05"	38
"kghm"	4	112	" 3.81E-05"	38
"pzpn"	4	112	" 3.81E-05"	38
"luft"	4	112	" 3.81E-05"	38
"liga"	4	112	" 3.81E-05"	38
"jaka"	4	111	" 3.77E-05"	37
"idei"	4	111	" 3.77E-05"	37
"mkol"	4	109	" 3.70E-05"	37
"będę"	4	109	" 3.70E-05"	37
"znak"	4	109	" 3.70E-05"	37
"syna"	4	108	" 3.67E-05"	36
"duży"	4	106	" 3.60E-05"	36
"sieć"	4	105	" 3.57E-05"	35
"viii"	4	104	" 3.53E-05"	35
"umów"	4	103	" 3.50E-05"	35
"kard"	4	103	" 3.50E-05"	35
"john"	4	101	" 3.43E-05"	34
"bazy"	4	101	" 3.43E-05"	34
"juan"	4	100	" 3.40E-05"	33
"same"	4	100	" 3.40E-05"	33
"spór"	4	100	" 3.40E-05"	33
"duża"	4	99	" 3.36E-05"	33
"obóz"	4	99	" 3.36E-05"	33
"zbóż"	4	98	" 3.33E-05"	33
"idea"	4	97	" 3.30E-05"	32
"ogół"	4	97	" 3.30E-05"	32
"chęć"	4	96	" 3.26E-05"	32
"jose"	4	96	" 3.26E-05"	32
"tusk"	4	96	" 3.26E-05"	32
"corp"	4	95	" 3.23E-05"	32
"pzpr"	4	94	" 3.19E-05"	31
"górę"	4	93	" 3.16E-05"	31
"hoop"	4	93	" 3.16E-05"	31
"city"	4	93	" 3.16E-05"	31
"skąd"	4	93	" 3.16E-05"	31
"wolę"	4	92	" 3.13E-05"	31
"bieg"	4	92	" 3.13E-05"	31
"żona"	4	92	" 3.13E-05"	31
"leży"	4	92	" 3.13E-05"	31
"sumę"	4	91	" 3.09E-05"	30
"piwa"	4	91	" 3.09E-05"	30
"leon"	4	91	" 3.09E-05"	30
"siłą"	4	90	" 3.06E-05"	30
"umts"	4	90	" 3.06E-05"	30
"kart"	4	89	" 3.02E-05"	30
"norm"	4	88	" 2.99E-05"	29
"boga"	4	88	" 2.99E-05"	29
"nwza"	4	88	" 2.99E-05"	29
"żony"	4	87	" 2.96E-05"	29
"leki"	4	87	" 2.96E-05"	29
"spod"	4	86	" 2.92E-05"	29
"weta"	4	86	" 2.92E-05"	29
"wiem"	4	86	" 2.92E-05"	29
"sumy"	4	85	" 2.89E-05"	28
"peru"	4	85	" 2.89E-05"	28
"data"	4	85	" 2.89E-05"	28
"auta"	4	84	" 2.86E-05"	28
"słów"	4	83	" 2.82E-05"	28
"moim"	4	82	" 2.79E-05"	27
"most"	4	82	" 2.79E-05"	27
"ford"	4	82	" 2.79E-05"	27
"team"	4	81	" 2.75E-05"	27
"stąd"	4	81	" 2.75E-05"	27
"otwy"	4	81	" 2.75E-05"	27
"tonę"	4	80	" 2.72E-05"	27
"koła"	4	80	" 2.72E-05"	27
"król"	4	80	" 2.72E-05"	27
"irak"	4	80	" 2.72E-05"	27
"park"	4	79	" 2.69E-05"	26
"aktu"	4	79	" 2.69E-05"	26
"suma"	4	78	" 2.65E-05"	26
"razu"	4	78	" 2.65E-05"	26
"para"	4	78	" 2.65E-05"	26
"prób"	4	77	" 2.62E-05"	26
"blok"	4	77	" 2.62E-05"	26
"ydzi"	4	77	" 2.62E-05"	26
"błąd"	4	76	" 2.58E-05"	25
"ehud"	4	76	" 2.58E-05"	25
"ocen"	4	75	" 2.55E-05"	25
"brat"	4	75	" 2.55E-05"	25
"znów"	4	75	" 2.55E-05"	25
"hołd"	4	75	" 2.55E-05"	25
"moje"	4	74	" 2.52E-05"	25
"chcę"	4	74	" 2.52E-05"	25
"cykl"	4	73	" 2.48E-05"	24
"wall"	4	73	" 2.48E-05"	24
"męża"	4	73	" 2.48E-05"	24
"grał"	4	73	" 2.48E-05"	24
"paul"	4	73	" 2.48E-05"	24
"płuc"	4	72	" 2.45E-05"	24
"ukie"	4	72	" 2.45E-05"	24
"anny"	4	72	" 2.45E-05"	24
"mszę"	4	72	" 2.45E-05"	24
"myśl"	4	72	" 2.45E-05"	24
"lotu"	4	71	" 2.41E-05"	24
"post"	4	71	" 2.41E-05"	24
"psów"	4	70	" 2.38E-05"	23
"wyżu"	4	70	" 2.38E-05"	23
"msza"	4	70	" 2.38E-05"	23
"gier"	4	70	" 2.38E-05"	23
"dóbr"	4	70	" 2.38E-05"	23
"http"	4	69	" 2.35E-05"	23
"ciał"	4	69	" 2.35E-05"	23
"bony"	4	69	" 2.35E-05"	23
"utah"	4	69	" 2.35E-05"	23
"dwóm"	4	69	" 2.35E-05"	23
"onet"	4	69	" 2.35E-05"	23
"fala"	4	68	" 2.31E-05"	23
"news"	4	68	" 2.31E-05"	23
"robi"	4	68	" 2.31E-05"	23
"wlkp"	4	68	" 2.31E-05"	23
"tass"	4	68	" 2.31E-05"	23
"pary"	4	68	" 2.31E-05"	23
"iaaf"	4	67	" 2.28E-05"	22
"giro"	4	67	" 2.28E-05"	22
"camp"	4	66	" 2.24E-05"	22
"datę"	4	66	" 2.24E-05"	22
"kerm"	4	65	" 2.21E-05"	22
"jazz"	4	65	" 2.21E-05"	22
"akta"	4	65	" 2.21E-05"	22
"club"	4	65	" 2.21E-05"	22
"kina"	4	65	" 2.21E-05"	22
"niżu"	4	65	" 2.21E-05"	22
"samą"	4	65	" 2.21E-05"	22
"itar"	4	64	" 2.18E-05"	21
"pete"	4	64	" 2.18E-05"	21
"mowy"	4	63	" 2.14E-05"	21
"rękę"	4	63	" 2.14E-05"	21
"form"	4	63	" 2.14E-05"	21
"baza"	4	63	" 2.14E-05"	21
"nami"	4	63	" 2.14E-05"	21
"gang"	4	63	" 2.14E-05"	21
"hagi"	4	62	" 2.11E-05"	21
"tury"	4	62	" 2.11E-05"	21
"ulic"	4	62	" 2.11E-05"	21
"wyda"	4	62	" 2.11E-05"	21
"lake"	4	62	" 2.11E-05"	21
"auto"	4	62	" 2.11E-05"	21
"wysp"	4	61	" 2.07E-05"	20
"brał"	4	61	" 2.07E-05"	20
"oslo"	4	61	" 2.07E-05"	20
"siłę"	4	61	" 2.07E-05"	20
"sądy"	4	61	" 2.07E-05"	20
"otto"	4	61	" 2.07E-05"	20
"woda"	4	59	" 2.01E-05"	20
"jork"	4	59	" 2.01E-05"	20
"kofi"	4	59	" 2.01E-05"	20
"wodą"	4	59	" 2.01E-05"	20
"domy"	4	59	" 2.01E-05"	20
"góra"	4	59	" 2.01E-05"	20
"nogi"	4	59	" 2.01E-05"	20
"dają"	4	59	" 2.01E-05"	20
"chór"	4	58	" 1.97E-05"	19
"wiat"	4	58	" 1.97E-05"	19
"mary"	4	58	" 1.97E-05"	19
"expo"	4	58	" 1.97E-05"	19
"żąda"	4	58	" 1.97E-05"	19
"mark"	4	57	" 1.94E-05"	19
"grze"	4	57	" 1.94E-05"	19
"huta"	4	56	" 1.90E-05"	19
"real"	4	56	" 1.90E-05"	19
"bada"	4	56	" 1.90E-05"	19
"grać"	4	55	" 1.87E-05"	18
"płyt"	4	55	" 1.87E-05"	18
"nasi"	4	55	" 1.87E-05"	18
"złym"	4	55	" 1.87E-05"	18
"rola"	4	55	" 1.87E-05"	18
"zoll"	4	55	" 1.87E-05"	18
"kasa"	4	55	" 1.87E-05"	18
"ręki"	4	55	" 1.87E-05"	18
"akty"	4	54	" 1.84E-05"	18
"udał"	4	54	" 1.84E-05"	18
"oczy"	4	54	" 1.84E-05"	18
"tłum"	4	54	" 1.84E-05"	18
"line"	4	54	" 1.84E-05"	18
"fazy"	4	54	" 1.84E-05"	18
"mija"	4	53	" 1.80E-05"	18
"wzór"	4	53	" 1.80E-05"	18
"kont"	4	53	" 1.80E-05"	18
"rent"	4	53	" 1.80E-05"	18
"soli"	4	53	" 1.80E-05"	18
"dumy"	4	53	" 1.80E-05"	18
"inną"	4	52	" 1.77E-05"	17
"iran"	4	52	" 1.77E-05"	17
"pola"	4	51	" 1.73E-05"	17
"obaw"	4	51	" 1.73E-05"	17
"wola"	4	51	" 1.73E-05"	17
"moja"	4	51	" 1.73E-05"	17
"rzym"	4	51	" 1.73E-05"	17
"rajd"	4	51	" 1.73E-05"	17
"żyją"	4	50	" 1.70E-05"	16
"judo"	4	50	" 1.70E-05"	16
"erik"	4	50	" 1.70E-05"	16
"rice"	4	50	" 1.70E-05"	16
"nkwd"	4	50	" 1.70E-05"	16
"ycia"	4	50	" 1.70E-05"	16
"brać"	4	49	" 1.67E-05"	16
"kogo"	4	49	" 1.67E-05"	16
"parę"	4	49	" 1.67E-05"	16
"hans"	4	49	" 1.67E-05"	16
"lato"	4	48	" 1.63E-05"	16
"xvii"	4	48	" 1.63E-05"	16
"mail"	4	48	" 1.63E-05"	16
"hall"	4	48	" 1.63E-05"	16
"fiat"	4	47	" 1.60E-05"	15
"świń"	4	47	" 1.60E-05"	15
"sdrp"	4	47	" 1.60E-05"	15
"mała"	4	47	" 1.60E-05"	15
"pulę"	4	47	" 1.60E-05"	15
"weto"	4	46	" 1.56E-05"	15
"belg"	4	46	" 1.56E-05"	15
"rany"	4	46	" 1.56E-05"	15
"waży"	4	46	" 1.56E-05"	15
"port"	4	46	" 1.56E-05"	15
"inna"	4	46	" 1.56E-05"	15
"ryby"	4	46	" 1.56E-05"	15
"ósmy"	4	46	" 1.56E-05"	15
"milo"	4	46	" 1.56E-05"	15
"mike"	4	45	" 1.53E-05"	15
"salt"	4	45	" 1.53E-05"	15
"finn"	4	45	" 1.53E-05"	15
"otwa"	4	45	" 1.53E-05"	15
"toku"	4	45	" 1.53E-05"	15
"aden"	4	45	" 1.53E-05"	15
"nosi"	4	45	" 1.53E-05"	15
"salę"	4	45	" 1.53E-05"	15
"wieś"	4	45	" 1.53E-05"	15
"bólu"	4	44	" 1.50E-05"	14
"sfor"	4	44	" 1.50E-05"	14
"oecd"	4	44	" 1.50E-05"	14
"omży"	4	44	" 1.50E-05"	14
"pole"	4	43	" 1.46E-05"	14
"tacy"	4	43	" 1.46E-05"	14
"love"	4	43	" 1.46E-05"	14
"czyn"	4	43	" 1.46E-05"	14
"wodę"	4	43	" 1.46E-05"	14
"kres"	4	43	" 1.46E-05"	14
"wnba"	4	43	" 1.46E-05"	14
"ślad"	4	42	" 1.43E-05"	14
"time"	4	42	" 1.43E-05"	14
"żonę"	4	42	" 1.43E-05"	14
"lasu"	4	42	" 1.43E-05"	14
"biur"	4	42	" 1.43E-05"	14
"kram"	4	42	" 1.43E-05"	14
"styl"	4	42	" 1.43E-05"	14
"stal"	4	42	" 1.43E-05"	14
"żoną"	4	42	" 1.43E-05"	14
"tryb"	4	42	" 1.43E-05"	14
"sens"	4	42	" 1.43E-05"	14
"losy"	4	41	" 1.39E-05"	13
"padł"	4	41	" 1.39E-05"	13
"wizy"	4	41	" 1.39E-05"	13
"test"	4	41	" 1.39E-05"	13
"nowi"	4	41	" 1.39E-05"	13
"czci"	4	40	" 1.36E-05"	13
"złej"	4	40	" 1.36E-05"	13
"muru"	4	40	" 1.36E-05"	13
"doby"	4	40	" 1.36E-05"	13
"azyl"	4	40	" 1.36E-05"	13
"mały"	4	40	" 1.36E-05"	13
"izbę"	4	40	" 1.36E-05"	13
"welt"	4	40	" 1.36E-05"	13
"żywo"	4	39	" 1.33E-05"	13
"dług"	4	39	" 1.33E-05"	13
"płci"	4	39	" 1.33E-05"	13
"alex"	4	39	" 1.33E-05"	13
"plac"	4	39	" 1.33E-05"	13
"mowa"	4	39	" 1.33E-05"	13
"klas"	4	39	" 1.33E-05"	13
"panu"	4	39	" 1.33E-05"	13
"piła"	4	39	" 1.33E-05"	13
"opór"	4	39	" 1.33E-05"	13
"pies"	4	38	" 1.29E-05"	12
"karą"	4	38	" 1.29E-05"	12
"ideę"	4	38	" 1.29E-05"	12
"alan"	4	38	" 1.29E-05"	12
"dała"	4	38	" 1.29E-05"	12
"ojcu"	4	38	" 1.29E-05"	12
"głąb"	4	38	" 1.29E-05"	12
"bonn"	4	38	" 1.29E-05"	12
"king"	4	37	" 1.26E-05"	12
"kuby"	4	37	" 1.26E-05"	12
"pakt"	4	37	" 1.26E-05"	12
"gali"	4	37	" 1.26E-05"	12
"emil"	4	37	" 1.26E-05"	12
"code"	4	37	" 1.26E-05"	12
"rejs"	4	37	" 1.26E-05"	12
"lady"	4	37	" 1.26E-05"	12
"wagę"	4	37	" 1.26E-05"	12
"prok"	4	37	" 1.26E-05"	12
"duma"	4	37	" 1.26E-05"	12
"polu"	4	37	" 1.26E-05"	12
"próg"	4	36	" 1.22E-05"	12
"xiii"	4	36	" 1.22E-05"	12
"uzna"	4	36	" 1.22E-05"	12
"dorn"	4	36	" 1.22E-05"	12
"dnie"	4	36	" 1.22E-05"	12
"rzek"	4	36	" 1.22E-05"	12
"tura"	4	36	" 1.22E-05"	12
"falę"	4	36	" 1.22E-05"	12
"dobę"	4	35	" 1.19E-05"	11
"mody"	4	35	" 1.19E-05"	11
"okna"	4	35	" 1.19E-05"	11
"fpoe"	4	35	" 1.19E-05"	11
"wiec"	4	35	" 1.19E-05"	11
"boże"	4	35	" 1.19E-05"	11
"małą"	4	34	" 1.16E-05"	11
"alfa"	4	34	" 1.16E-05"	11
"ręku"	4	34	" 1.16E-05"	11
"winę"	4	34	" 1.16E-05"	11
"bóle"	4	34	" 1.16E-05"	11
"blue"	4	34	" 1.16E-05"	11
"ydom"	4	33	" 1.12E-05"	11
"farm"	4	33	" 1.12E-05"	11
"auli"	4	33	" 1.12E-05"	11
"siła"	4	33	" 1.12E-05"	11
"tito"	4	33	" 1.12E-05"	11
"ósme"	4	33	" 1.12E-05"	11
"sala"	4	33	" 1.12E-05"	11
"raty"	4	33	" 1.12E-05"	11
"zimy"	4	33	" 1.12E-05"	11
"role"	4	33	" 1.12E-05"	11
"wolą"	4	33	" 1.12E-05"	11
"luis"	4	33	" 1.12E-05"	11
"mord"	4	33	" 1.12E-05"	11
"nyse"	4	32	" 1.09E-05"	10
"ziem"	4	32	" 1.09E-05"	10
"rana"	4	32	" 1.09E-05"	10
"masy"	4	32	" 1.09E-05"	10
"moll"	4	32	" 1.09E-05"	10
"lasy"	4	32	" 1.09E-05"	10
"pion"	4	32	" 1.09E-05"	10
"grom"	4	32	" 1.09E-05"	10
"arka"	4	32	" 1.09E-05"	10
"fazę"	4	32	" 1.09E-05"	10
"elit"	4	32	" 1.09E-05"	10
"jolo"	4	31	" 1.05E-05"	10
"ulgi"	4	31	" 1.05E-05"	10
"ełku"	4	31	" 1.05E-05"	10
"wina"	4	31	" 1.05E-05"	10
"radą"	4	31	" 1.05E-05"	10
"kulą"	4	31	" 1.05E-05"	10
"bruk"	4	31	" 1.05E-05"	10
"aten"	4	31	" 1.05E-05"	10
"mapy"	4	31	" 1.05E-05"	10
"gryf"	4	31	" 1.05E-05"	10
"roma"	4	30	" 1.02E-05"	10
"datą"	4	30	" 1.02E-05"	10
"prom"	4	30	" 1.02E-05"	10
"cięć"	4	30	" 1.02E-05"	10
"skra"	4	30	" 1.02E-05"	10
"logo"	4	30	" 1.02E-05"	10
"tory"	4	30	" 1.02E-05"	10
"metą"	4	30	" 1.02E-05"	10
"krew"	4	30	" 1.02E-05"	10
"dało"	4	30	" 1.02E-05"	10
"wirr"	4	30	" 1.02E-05"	10
"show"	4	30	" 1.02E-05"	10
"nike"	4	30	" 1.02E-05"	10
"mera"	4	30	" 1.02E-05"	10
"piwo"	4	30	" 1.02E-05"	10
"iwan"	4	30	" 1.02E-05"	10
"prąd"	4	29	" 9.86E-06"	9
"wood"	4	29	" 9.86E-06"	9
"olga"	4	29	" 9.86E-06"	9
"odry"	4	29	" 9.86E-06"	9
"cypr"	4	29	" 9.86E-06"	9
"bazę"	4	29	" 9.86E-06"	9
"cara"	4	29	" 9.86E-06"	9
"mety"	4	29	" 9.86E-06"	9
"mgły"	4	29	" 9.86E-06"	9
"hill"	4	28	" 9.52E-06"	9
"ittf"	4	28	" 9.52E-06"	9
"bild"	4	28	" 9.52E-06"	9
"udać"	4	28	" 9.52E-06"	9
"notę"	4	28	" 9.52E-06"	9
"copa"	4	28	" 9.52E-06"	9
"once"	4	28	" 9.52E-06"	9
"koni"	4	28	" 9.52E-06"	9
"okno"	4	27	" 9.18E-06"	9
"kuli"	4	27	" 9.18E-06"	9
"gość"	4	27	" 9.18E-06"	9
"mózg"	4	27	" 9.18E-06"	9
"kino"	4	27	" 9.18E-06"	9
"karl"	4	27	" 9.18E-06"	9
"kohl"	4	27	" 9.18E-06"	9
"sile"	4	27	" 9.18E-06"	9
"grób"	4	27	" 9.18E-06"	9
"wart"	4	27	" 9.18E-06"	9
"nogę"	4	27	" 9.18E-06"	9
"sekt"	4	27	" 9.18E-06"	9
"cook"	4	27	" 9.18E-06"	9
"opon"	4	26	" 8.84E-06"	8
